state	program	spending
Minnesota	Market Facilitation Program - Dairy and Hogs	71102742
Minnesota	Livestock Compensation Program	35628838
Minnesota	Market Facilitation Program - Hogs	29673811
Minnesota	Livestock Forage Disaster Program	15499717
Minnesota	Livestock Emergency Assistance Program	14751455
Minnesota	Livestock Indemnity Payments	13585061
Minnesota	Small Hog Operation	12821864
Minnesota	Livestock Relief	7870348
Minnesota	Emergency Livestock Feed Assistance	2192619
Minnesota	Livestock Indemnity Prog - Authorization	58132